Tempo,RPM
1.5864546298980713,0.00
2.5811140537261963,0.00
3.585427761077881,0.00
4.574237585067749,0.00
5.5777952671051025,60.00
6.59049916267395,232.00
7.589823484420776,30.00
8.589509010314941,0.00
9.589848041534424,0.00
10.591798782348633,315.00
11.59279179573059,300.00
12.5937020778656,390.00
13.593997478485107,330.00
14.594224452972412,450.00
15.59402346611023,406.00
16.594247102737427,450.00
17.594820499420166,464.00
18.595236778259277,480.00
19.59654474258423,551.00
20.596450567245483,540.00
21.59708070755005,570.00
22.596566677093506,522.00
23.595385551452637,630.00
24.600991010665894,551.00
25.599888563156128,630.00
26.600322484970093,600.00
27.60027003288269,660.00
28.60056471824646,609.00
29.600575923919678,690.00
30.601932048797607,609.00
31.602091312408447,720.00
32.60219359397888,720.00
33.60275387763977,667.00
34.6050546169281,720.00
35.60381889343262,696.00
36.60421895980835,720.00
37.60530185699463,696.00
38.60560393333435,696.00
39.60501194000244,750.00
40.60642409324646,750.00
41.606048583984375,750.00
42.606741189956665,750.00
43.60683727264404,780.00
44.60718011856079,754.00
45.60802125930786,720.00
46.6082763671875,754.00
47.60967135429382,780.00
48.61003136634827,783.00
49.610819816589355,780.00
50.610559940338135,754.00
51.61067485809326,810.00
52.61157035827637,810.00
53.61183404922485,783.00
54.61273169517517,840.00
55.61264252662659,810.00
56.670783042907715,900.00
57.613492488861084,754.00
58.614465951919556,870.00
59.6149628162384,812.00
60.61526012420654,840.00
61.61548113822937,840.00
62.61593174934387,841.00
63.61677002906799,870.00
64.61721348762512,870.00
65.61810040473938,870.00
66.61804986000061,870.00
67.61856579780579,870.00
68.6186637878418,915.00
69.61989545822144,915.00
70.61878561973572,915.00
71.6205575466156,915.00
72.63508367538452,885.00
73.63865852355957,900.00
74.62070560455322,900.00
75.62155675888062,870.00
76.62245512008667,960.00
77.6228346824646,841.00
78.62323713302612,960.00
79.62397408485413,870.00
80.62456631660461,960.00
81.62420964241028,900.00
82.62496066093445,899.00
83.6251711845398,960.00
84.62681794166565,899.00
85.62698578834534,899.00
86.62689661979675,960.00
87.62782645225525,960.00
88.6279067993164,915.00
89.6272828578949,915.00
90.62860751152039,945.00
91.62861037254333,930.00
92.62897634506226,990.00
93.62995719909668,899.00
94.63063645362854,960.00
95.63079786300659,870.00
96.63070011138916,990.00
97.6318838596344,899.00
98.63255047798157,960.00
99.63263607025146,986.00
100.63352417945862,960.00
101.63352084159851,990.00
102.63379454612732,899.00
103.63368797302246,899.00
104.63434624671936,960.00
105.63475584983826,960.00
106.63566827774048,960.00
107.6361927986145,960.00
108.63641619682312,945.00
109.63687872886658,945.00
110.63794445991516,960.00
111.63775181770325,928.00
112.63766646385193,990.00
