Tempo,RPM
113.63845467567444,928.00
114.63851857185364,960.00
115.6396074295044,928.00
116.63969111442566,960.00
117.64036417007446,928.00
118.6407823562622,990.00
119.64074373245239,928.00
120.64139080047607,930.00
121.64160132408142,960.00
122.64324378967285,928.00
123.64281249046326,928.00
124.64270401000977,975.00
125.64344072341919,975.00
126.6440908908844,975.00
127.64383029937744,975.00
128.64512634277344,990.00
129.64484858512878,990.00
130.64604783058167,975.00
131.64589285850525,930.00
132.64703845977783,990.00
133.64756727218628,928.00
134.64777445793152,960.00
135.64794826507568,928.00
136.64813327789307,960.00
137.64872932434082,928.00
138.6488573551178,930.00
139.64959454536438,960.00
140.65063405036926,928.00
141.6507604122162,960.00
142.65158581733704,928.00
143.65157794952393,930.00
144.65235495567322,990.00
145.6528835296631,990.00
146.6529574394226,957.00
147.6535611152649,960.00
148.65375685691833,928.00
149.65465998649597,990.00
150.65490460395813,960.00
151.65521144866943,928.00
152.65614342689514,960.00
153.6565957069397,928.00
154.65732979774475,990.00
155.6578552722931,957.00
156.65775990486145,990.00
157.65785217285156,990.00
158.65886569023132,960.00
159.65901637077332,957.00
160.65987420082092,960.00
161.65965509414673,990.00
162.6608281135559,928.00
163.6604356765747,990.00
164.66185116767883,928.00
165.66173934936523,960.00
166.66213274002075,957.00
167.6627426147461,990.00
168.66349530220032,928.00
169.6639232635498,990.00
170.6639425754547,990.00
171.66423678398132,960.00
172.6656630039215,960.00
173.66579127311707,928.00
174.66574621200562,960.00
175.66624402999878,957.00
176.66711711883545,990.00
177.6677966117859,928.00
178.66793775558472,990.00
179.66867446899414,990.00
180.6687524318695,928.00
181.66945791244507,960.00
182.6693251132965,957.00
183.67048621177673,960.00
184.67097568511963,928.00
185.6716914176941,960.00
186.67204451560974,957.00
187.66885423660278,960.00
188.6681034564972,928.00
189.6660499572754,960.00
190.66627502441406,960.00
191.6732883453369,928.00
192.66454887390137,930.00
193.66261768341064,928.00
194.66179203987122,960.00
195.6619074344635,899.00
196.66098999977112,960.00
197.67587113380432,899.00
198.67594027519226,930.00
199.67508101463318,960.00
200.67421007156372,957.00
201.67326426506042,930.00
202.67254877090454,928.00
203.67057847976685,930.00
204.6707239151001,928.00
205.68037390708923,960.00
206.68064308166504,928.00
207.68094682693481,990.00
208.68214416503906,928.00
209.68253779411316,960.00
210.6831636428833,960.00
211.68342399597168,960.00
212.68206524848938,960.00
213.68422293663025,928.00
214.68460178375244,930.00
215.6845474243164,899.00
216.68502831459045,930.00
217.6861550807953,899.00
218.68602848052979,930.00
219.68712520599365,930.00
220.6869490146637,899.00
221.68734097480774,960.00
222.68928480148315,899.00
223.68847155570984,930.00
224.68961644172668,930.00
225.6895453929901,930.00
226.6899745464325,899.00
227.69028759002686,930.00
228.69070315361023,899.00
229.69141101837158,930.00
230.69209814071655,930.00
231.69186687469482,899.00
232.6928231716156,930.00
233.69321084022522,899.00
234.69371271133423,930.00
235.69439339637756,899.00
236.6945195198059,930.00
237.69530725479126,930.00
238.6955442428589,930.00
239.6957449913025,930.00
240.69675493240356,899.00
241.69699358940125,930.00
242.69761872291565,899.00
243.69788074493408,930.00
244.69859266281128,899.00
245.69916129112244,900.00
246.69903373718262,899.00
247.69983005523682,930.00
248.70043516159058,899.00
249.70011234283447,900.00
250.70078825950623,900.00
251.70200634002686,915.00
252.7013657093048,915.00
253.7018096446991,915.00
254.7029902935028,915.00
255.70344877243042,900.00
256.70356845855713,900.00
257.7040948867798,900.00
258.70375394821167,900.00
259.7043821811676,915.00
260.70581221580505,900.00
261.7060356140137,930.00
262.7069284915924,870.00
263.70632672309875,930.00
264.70686173439026,870.00
265.70763516426086,930.00
266.70732045173645,899.00
267.7079105377197,900.00
268.70904517173767,899.00
269.70927715301514,900.00
270.7092580795288,900.00
271.7096576690674,870.00
272.71056175231934,900.00
273.7107307910919,930.00
274.7119679450989,870.00
275.71199584007263,899.00
276.7120854854584,900.00
277.71280550956726,870.00
278.7139229774475,900.00
279.7135796546936,930.00
280.71435284614563,870.00
281.71490836143494,930.00
282.71514344215393,870.00
283.71590304374695,900.00
284.71589732170105,899.00
285.71708583831787,900.00
286.7174174785614,930.00
287.7176387310028,930.00
288.7180392742157,870.00
289.7188513278961,930.00
290.7192406654358,900.00
291.7198362350464,899.00
292.7198932170868,900.00
293.72060203552246,870.00
294.7208425998688,930.00
295.7209906578064,870.00
296.7219717502594,900.00
297.722243309021,870.00
298.72334384918213,900.00
299.7230067253113,900.00
