RPM
0.00
0.00
0.00
1392.00
420.00
0.00
1380.00
609.00
570.00
1015.00
1440.00
60.00
957.00
1740.00
1566.00
1320.00
1131.00
450.00
1653.00
300.00
1140.00
319.00
990.00
1508.00
1560.00
1305.00
1320.00
1189.00
60.00
1020.00
1421.00
90.00
609.00
630.00
290.00
1230.00
1595.00
1080.00
1073.00
1140.00
330.00
870.00
540.00
1276.00
1500.00
1566.00
1320.00
1189.00
60.00
990.00
1537.00
1500.00
1537.00
1440.00
58.00
1050.00
1305.00
1320.00
1260.00
1479.00
1680.00
87.00
690.00
29.00
1140.00
232.00
1500.00
1620.00
783.00
1380.00
580.00
960.00
1653.00
360.00
493.00
1500.00
1537.00
1440.00
60.00
986.00
1590.00
1102.00
870.00
522.00
1380.00
609.00
600.00
720.00
1537.00
1440.00
58.00
1050.00
1247.00
1560.00
1305.00
1320.00
1200.00
58.00
1020.00
1421.00
90.00
609.00
630.00
261.00
1440.00
58.00
1050.00
1320.00
1247.00
1590.00
1160.00
60.00
986.00
1590.00
1102.00
930.00
30.00
1218.00
1710.00
87.00
720.00
1595.00
1080.00
1073.00
1140.00
330.00
899.00
30.00
1247.00
1560.00
1276.00
1440.00
58.00
990.00
1508.00
1560.00
1320.00
1160.00
60.00
957.00
1740.00
1595.00
1080.00
1015.00
1500.00
1590.00
1102.00
870.00
522.00
1380.00
580.00
960.00
1653.00
360.00
510.00
1392.00
450.00
1624.00
810.00
1160.00
60.00
986.00
1590.00
1102.00
870.00
540.00
1247.00
1590.00
1102.00
900.00
58.00
1020.00
1421.00
90.00
690.00
0.00
1410.00
116.00
60.00
986.00
1590.00
1102.00
870.00
540.00
1247.00
1560.00
1276.00
1440.00
58.00
990.00
1479.00
1650.00
360.00
406.00
30.00
1230.00
1590.00
1044.00
1290.00
1305.00
