PWM
0.00
0.00
106.15
116.35
126.60
136.90
147.25
135.12
139.63
142.22
151.59
152.21
156.97
162.18
163.48
167.92
168.85
175.80
179.74
176.67
188.01
188.49
191.31
197.93
194.03
203.55
202.55
208.82
207.45
207.87
214.63
214.97
220.84
222.00
224.64
225.43
231.10
225.20
236.99
234.36
237.21
233.35
242.27
244.45
241.11
249.46
246.05
251.20
247.41
255.00
248.44
253.46
255.00
255.00
252.48
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
255.00
